discipline,team,alias,canonical,rule,alias_shots,canonical_shots,alias_books,canonical_books,keep
W,KOR,SEOL YEJ,SEOL Y,initials extend,108,788,OWG2026_..WWCC2026,PCCC2024..WWCC2025,check: several extensions
W,KOR,SEOL YE,SEOL Y,initials extend,76,788,PACC2019..PACC2019,PCCC2024..WWCC2025,check: several extensions
W,KOR,SEOL YE,SEOL YEE,initials extend,76,678,PACC2019..PACC2019,OWG2026_..WWCC2026,check: several extensions
W,KOR,SEOL YE,SEOL YEJ,initials extend,76,108,PACC2019..PACC2019,OWG2026_..WWCC2026,check: several extensions
W,KOR,YANG TI,YANG T,initials extend,220,952,WJCC2017..WJCC2017,PACC2018..WWCC2023,yes
W,TUR,EMER B,EMER BN,initials extend,20,142,WJCC2017..WJCC2017,WJCC2017..WJCC2017,no: both in WJCC2017_Res
W,USA,ANDERSON T,ANDERSON-HEIDE T,surname extends,460,874,WJCC2015..WWCC2022,OQE2025_..WWCC2025,yes
W,USA,PETERSON TS,PETERSON T,initials extend,214,854,OWG2026_..OWG2026_,OWG2018_..WWCC2017,no: both in OWG2026_Resu
W,USA,PETERSON T,PETERSON TAB,initials extend,854,1709,OWG2018_..WWCC2017,OQE2025_..WWCC2025,check: several extensions
W,USA,PETERSON T,PETERSON TAR,initials extend,854,1662,OWG2018_..WWCC2017,OQE2025_..WWCC2025,check: several extensions
